"Transaction Id","Transaction Id"
"Authorization Code","Authorization Code"
"Nuvei Order Id","Nuvei Order Id"
"Internal Request Id","Internal Request Id"
"Payment Solution","Payment Solution"
"Payment Method","Payment Method"
"Collect Plans","Collect Plans"
"Last download: ","Last download: "
"Nuvei Api Requests","Nuvei Api Requests"
"Api Requests","Api Requests"
"Nuvei payments module is not active at the moment!","Nuvei payments module is not active at the moment!"
"Your payment failed.","Your payment failed."
"An error occurred on the server. Please check your Order History and if the Order is not there, try to place it again!","An error occurred on the server. Please check your Order History and if the Order is not there, try to place it again!"
"Session has expired, order has been not placed.","Session has expired, order has been not placed."
"<b>Attention!</b> - There is a problem with the Order. The Order amount is ","<b>Attention!</b> - There is a problem with the Order. The Order amount is "
"but the Authorized amount is ","but the Authorized amount is "
"but the Paid amount is ","but the Paid amount is "
"The <b>Partial Settle</b> request for amount of ","The <b>Partial Settle</b> request for amount of "
"returned","returned"
"status","status"
"Transaction ID: ","Transaction ID: "
"Related Transaction ID: ","Related Transaction ID: "
"request, response status is","request, response status is"
"Code: ","Code: "
"Reason: ","Reason: "
"An error occurred on the server. Please try to place the order again.","An error occurred on the server. Please try to place the order again."
"Required key %1 for checksum calculation is missing.","Required key %1 for checksum calculation is missing."
"Mising response status!","Mising response status!"
"Request to payment gateway failed. Details: %1.","Request to payment gateway failed. Details: %1."
"Request to payment gateway failed.","Request to payment gateway failed."
"Required response data fields are missing: %1.","Required response data fields are missing: %1."
"Split the log by days","Split the log by days"
"Save in single file","Save in single file"
"Save both files","Save both files"
"No","No"
"Please, select an option...","Please, select an option..."
"Live","Live"
"Sandbox","Sandbox"
"Authorize and Capture","Authorize and Capture"
"Authorize","Authorize"
"No Plan","No Plan"
"DAY","DAY"
"MONTH","MONTH"
"YEAR","YEAR"
"%1 method is not supported.","%1 method is not supported."
"%1 doesn't implement \Nuvei\Payments\Model\RequestInterface","%1 doesn't implement \Nuvei\Payments\Model\RequestInterface"
"There is no Cart data.","There is no Cart data."
"%1 doesn't implement \Nuvei\Payments\Mode\RequestInterface","%1 doesn't implement \Nuvei\Payments\Mode\RequestInterface"
"%1 type is not supported.","%1 type is not supported."
"%1 doesn't implement \Nuvei\Payments\Mode\ResponseInterface","%1 doesn't implement \Nuvei\Payments\Mode\ResponseInterface"
"Are you sure you want to void the payment?","Are you sure you want to void the payment?"
"Void","Void"
"Failed","Failed"
"Success","Success"
"Credit Card Type","Credit Card Type"
"Card Number","Card Number"
"Expiration Date","Expiration Date"
"Name On Card","Name On Card"
"Card Verification Number","Card Verification Number"
"Credit Card Information","Credit Card Information"
"Place Order","Place Order"
"Unexpected error! If the fields of the selected payment method do not reload in few seconds, please reload the page!","Unexpected error! If the fields of the selected payment method do not reload in few seconds, please reload the page!"
"Your Payment was DECLINED. Please try another payment method!","Your Payment was DECLINED. Please try another payment method!"
"Unexpected error, please try again later!","Unexpected error, please try again later!"
"Enabled","Enabled"
"Title","Title"
"Mode","Mode"
"Merchant Hash","Merchant Hash"
"Payment Action","Payment Action"
"Merchant ID","Merchant ID"
"Merchant Site Id","Merchant Site Id"
"Merchant Secret Key","Merchant Secret Key"
"Sandbox Merchant ID","Sandbox Merchant ID"
"Sandbox Merchant Site Id","Sandbox Merchant Site Id"
"Sandbox Merchant Secret Key","Sandbox Merchant Secret Key"
"Save Debug log","Save Debug log"
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maximum Order Total"
"Sort Order","Sort Order"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Site Notify URL","Site Notify URL"
"Delete items","Delete items"
"Delete selected items?","Delete selected items?"
"Delete","Delete"
"Request Id","Request Id"
"Parent Request Id","Parent Request Id"
"Method","Method"
"Status","Status"
"Request Details","Request Details"
"Response Details","Response Details"
"Increment Id","Increment Id"
"Customer Id","Customer Id"
"Created","Created"
"Modified","Modified"
"Choose from the payment options","Choose from the payment options"
"Choose from yours preferred payment methods","Choose from yours preferred payment methods"
"Are you sure, you want to delete this Preferred payment method?","Are you sure, you want to delete this Preferred payment method?"
"Wrong CVC, please try again!","Wrong CVC, please try again!"
"Void Error - Missing mandatory data for the Void.","Void Error - Missing mandatory data for the Void."
"Subscription details","Subscription details"
"You can not add this product to product with a Payment Plan.","You can not add this product to product with a Payment Plan."
"You can not add a product with Payment Plan to another products.","You can not add a product with Payment Plan to another products."
"<b>Error</b> when try to create Subscription by this Order. ","<b>Error</b> when try to create Subscription by this Order. "